Date : 2026-03-04 07:13:14
Directory : /Users/roryhill/Projects/Winnow64
Total : 1642 files,  378426 codes, 58604 comments, 69831 blanks, all 506861 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| /Users/roryhill/Projects/Winnow64/Cache/metareader.h                                                                                                              | C++           |         33 |          0 |          8 |         41 |
| /Users/roryhill/Projects/Winnow64/Cache/reader.cpp                                                                                                                | C++           |        167 |        136 |         32 |        335 |
| /Users/roryhill/Projects/Winnow64/Cache/reader.h                                                                                                                  | C++           |         84 |          2 |         12 |         98 |
| /Users/roryhill/Projects/Winnow64/Cache/threadsafehash.h                                                                                                          | C++           |         76 |          0 |         28 |        104 |
| /Users/roryhill/Projects/Winnow64/Cache/tiffthumbdecoder.cpp                                                                                                      | C++           |         43 |         24 |         11 |         78 |
| /Users/roryhill/Projects/Winnow64/Cache/tiffthumbdecoder.h                                                                                                        | C++           |         28 |          0 |          8 |         36 |
| /Users/roryhill/Projects/Winnow64/Datamodel/buildfilters.cpp                                                                                                      | C++           |        678 |        255 |        107 |      1,040 |
| /Users/roryhill/Projects/Winnow64/Datamodel/buildfilters.h                                                                                                        | C++           |         89 |          2 |         16 |        107 |
| /Users/roryhill/Projects/Winnow64/Datamodel/datamodel.cpp                                                                                                         | C++           |      2,390 |        830 |        346 |      3,566 |
| /Users/roryhill/Projects/Winnow64/Datamodel/datamodel.h                                                                                                           | C++           |        226 |         13 |         42 |        281 |
| /Users/roryhill/Projects/Winnow64/Datamodel/filters.cpp                                                                                                           | C++           |      1,206 |        455 |        171 |      1,832 |
| /Users/roryhill/Projects/Winnow64/Datamodel/filters.h                                                                                                             | C++           |        149 |          4 |         16 |        169 |
| /Users/roryhill/Projects/Winnow64/Datamodel/selection.cpp                                                                                                         | C++           |        424 |        128 |         67 |        619 |
| /Users/roryhill/Projects/Winnow64/Datamodel/selection.h                                                                                                           | C++           |         76 |          1 |         10 |         87 |
| /Users/roryhill/Projects/Winnow64/Dialogs/aboutdlg.cpp                                                                                                            | C++           |         40 |          2 |          6 |         48 |
| /Users/roryhill/Projects/Winnow64/Dialogs/aboutdlg.h                                                                                                              | C++           |         28 |          0 |          8 |         36 |
| /Users/roryhill/Projects/Winnow64/Dialogs/addthumbnailsdlg.cpp                                                                                                    | C++           |         42 |          1 |          7 |         50 |
| /Users/roryhill/Projects/Winnow64/Dialogs/addthumbnailsdlg.h                                                                                                      | C++           |         24 |          0 |          9 |         33 |
| /Users/roryhill/Projects/Winnow64/Dialogs/appdlg.cpp                                                                                                              | C++           |        248 |         34 |         40 |        322 |
| /Users/roryhill/Projects/Winnow64/Dialogs/appdlg.h                                                                                                                | C++           |         40 |          2 |         11 |         53 |
| /Users/roryhill/Projects/Winnow64/Dialogs/copystyledlg.cpp                                                                                                        | C++           |         36 |          1 |          6 |         43 |
| /Users/roryhill/Projects/Winnow64/Dialogs/copystyledlg.h                                                                                                          | C++           |         22 |          0 |          9 |         31 |
| /Users/roryhill/Projects/Winnow64/Dialogs/editlistdlg.cpp                                                                                                         | C++           |         50 |          4 |          7 |         61 |
| /Users/roryhill/Projects/Winnow64/Dialogs/editlistdlg.h                                                                                                           | C++           |         24 |          3 |          8 |         35 |
| /Users/roryhill/Projects/Winnow64/Dialogs/erasememcardimagesdlg.cpp                                                                                               | C++           |         44 |          2 |         11 |         57 |
| /Users/roryhill/Projects/Winnow64/Dialogs/erasememcardimagesdlg.h                                                                                                 | C++           |         25 |          0 |          8 |         33 |
| /Users/roryhill/Projects/Winnow64/Dialogs/findduplicatesdlg.cpp                                                                                                   | C++           |      1,160 |        397 |        127 |      1,684 |
| /Users/roryhill/Projects/Winnow64/Dialogs/findduplicatesdlg.h                                                                                                     | C++           |        137 |          5 |         26 |        168 |
| /Users/roryhill/Projects/Winnow64/Dialogs/imagedlg.cpp                                                                                                            | C++           |         18 |          1 |          3 |         22 |
| /Users/roryhill/Projects/Winnow64/Dialogs/imagedlg.h                                                                                                              | C++           |         19 |          0 |          7 |         26 |
| /Users/roryhill/Projects/Winnow64/Dialogs/ingestdlg.cpp                                                                                                           | C++           |      1,265 |        340 |        167 |      1,772 |
| /Users/roryhill/Projects/Winnow64/Dialogs/ingestdlg.h                                                                                                             | C++           |        165 |          8 |         32 |        205 |
| /Users/roryhill/Projects/Winnow64/Dialogs/ingestdlgold.cpp                                                                                                        | C++           |      1,218 |        296 |        146 |      1,660 |
| /Users/roryhill/Projects/Winnow64/Dialogs/ingestdlgold.h                                                                                                          | C++           |        154 |         12 |         36 |        202 |
| /Users/roryhill/Projects/Winnow64/Dialogs/ingesterrors.cpp                                                                                                        | C++           |         31 |          0 |          6 |         37 |
| /Users/roryhill/Projects/Winnow64/Dialogs/ingesterrors.h                                                                                                          | C++           |         23 |          0 |          7 |         30 |
| /Users/roryhill/Projects/Winnow64/Dialogs/loadusbdlg.cpp                                                                                                          | C++           |         66 |          3 |         15 |         84 |
| /Users/roryhill/Projects/Winnow64/Dialogs/loadusbdlg.h                                                                                                            | C++           |         28 |         12 |         10 |         50 |
| /Users/roryhill/Projects/Winnow64/Dialogs/loupeinfodlg.cpp                                                                                                        | C++           |         56 |          1 |          9 |         66 |
| /Users/roryhill/Projects/Winnow64/Dialogs/loupeinfodlg.h                                                                                                          | C++           |         39 |          0 |          9 |         48 |
| /Users/roryhill/Projects/Winnow64/Dialogs/managegraphicsdlg.cpp                                                                                                   | C++           |        116 |         83 |         25 |        224 |
| /Users/roryhill/Projects/Winnow64/Dialogs/managegraphicsdlg.h                                                                                                     | C++           |         34 |          1 |         10 |         45 |
| /Users/roryhill/Projects/Winnow64/Dialogs/manageimagesdlg.cpp                                                                                                     | C++           |        205 |         57 |         36 |        298 |
| /Users/roryhill/Projects/Winnow64/Dialogs/manageimagesdlg.h                                                                                                       | C++           |         40 |          0 |         10 |         50 |
| /Users/roryhill/Projects/Winnow64/Dialogs/managetilesdlg.cpp                                                                                                      | C++           |        111 |         74 |         22 |        207 |
| /Users/roryhill/Projects/Winnow64/Dialogs/managetilesdlg.h                                                                                                        | C++           |         33 |          1 |          9 |         43 |
| /Users/roryhill/Projects/Winnow64/Dialogs/patterndlg.cpp                                                                                                          | C++           |        208 |         49 |         35 |        292 |
| /Users/roryhill/Projects/Winnow64/Dialogs/patterndlg.h                                                                                                            | C++           |         63 |          0 |         15 |         78 |
| /Users/roryhill/Projects/Winnow64/Dialogs/prefdlg.cpp                                                                                                             | C++           |        388 |         77 |         69 |        534 |
| /Users/roryhill/Projects/Winnow64/Dialogs/prefdlg.h                                                                                                               | C++           |         71 |         11 |         15 |         97 |
| /Users/roryhill/Projects/Winnow64/Dialogs/preferencesdlg.cpp                                                                                                      | C++           |         67 |         26 |         16 |        109 |
| /Users/roryhill/Projects/Winnow64/Dialogs/preferencesdlg.h                                                                                                        | C++           |         28 |          0 |          7 |         35 |
| /Users/roryhill/Projects/Winnow64/Dialogs/renamedlg.cpp                                                                                                           | C++           |         70 |         12 |         12 |         94 |
| /Users/roryhill/Projects/Winnow64/Dialogs/renamedlg.h                                                                                                             | C++           |         41 |          2 |         13 |         56 |
| /Users/roryhill/Projects/Winnow64/Dialogs/saveasdlg.cpp                                                                                                           | C++           |         89 |          0 |         13 |        102 |
| /Users/roryhill/Projects/Winnow64/Dialogs/saveasdlg.h                                                                                                             | C++           |         33 |          0 |          8 |         41 |
| /Users/roryhill/Projects/Winnow64/Dialogs/selectionorpicksdlg.cpp                                                                                                 | C++           |         33 |          0 |          5 |         38 |
| /Users/roryhill/Projects/Winnow64/Dialogs/selectionorpicksdlg.h                                                                                                   | C++           |         25 |          0 |          8 |         33 |
| /Users/roryhill/Projects/Winnow64/Dialogs/testaligndlg.cpp                                                                                                        | C++           |         22 |          0 |          5 |         27 |
| /Users/roryhill/Projects/Winnow64/Dialogs/testaligndlg.h                                                                                                          | C++           |         21 |          0 |          8 |         29 |
| /Users/roryhill/Projects/Winnow64/Dialogs/tokendlg.cpp                                                                                                            | C++           |        347 |        165 |         70 |        582 |
| /Users/roryhill/Projects/Winnow64/Dialogs/tokendlg.h                                                                                                              | C++           |         90 |          6 |         23 |        119 |
| /Users/roryhill/Projects/Winnow64/Dialogs/updateapp.cpp                                                                                                           | C++           |         32 |          1 |         10 |         43 |
| /Users/roryhill/Projects/Winnow64/Dialogs/updateapp.h                                                                                                             | C++           |         26 |          0 |          9 |         35 |
| /Users/roryhill/Projects/Winnow64/Dialogs/workspacedlg.cpp                                                                                                        | C++           |         82 |         12 |         12 |        106 |
| /Users/roryhill/Projects/Winnow64/Dialogs/workspacedlg.h                                                                                                          | C++           |         36 |          0 |          9 |         45 |
| /Users/roryhill/Projects/Winnow64/Dialogs/zoomdlg.cpp                                                                                                             | C++           |        169 |         50 |         26 |        245 |
| /Users/roryhill/Projects/Winnow64/Dialogs/zoomdlg.h                                                                                                               | C++           |         42 |          0 |         11 |         53 |
| /Users/roryhill/Projects/Winnow64/Docs/Winnow help copy.html                                                                                                      | HTML          |         30 |          0 |          2 |         32 |
| /Users/roryhill/Projects/Winnow64/Docs/Winnow help.html                                                                                                           | HTML          |        397 |          0 |          2 |        399 |
| /Users/roryhill/Projects/Winnow64/Docs/_template.html                                                                                                             | HTML          |         38 |          0 |          5 |         43 |
| /Users/roryhill/Projects/Winnow64/Docs/debug.log                                                                                                                  | log           |         11 |          0 |          1 |         12 |
| /Users/roryhill/Projects/Winnow64/Docs/embelcoordsystem.html                                                                                                      | HTML          |          6 |          0 |          3 |          9 |
| /Users/roryhill/Projects/Winnow64/Docs/filtershelp.fld/colorschememapping.xml                                                                                     | XML           |          2 |          0 |          0 |          2 |
| /Users/roryhill/Projects/Winnow64/Docs/filtershelp.fld/filelist.xml                                                                                               | XML           |          6 |          0 |          0 |          6 |
| /Users/roryhill/Projects/Winnow64/Docs/filtershelp.html                                                                                                           | HTML          |      1,515 |          0 |          0 |      1,515 |
