Date : 2026-03-04 07:13:14
Directory : /Users/roryhill/Projects/Winnow64
Total : 1642 files,  378426 codes, 58604 comments, 69831 blanks, all 506861 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qversionnumber.h                                                      | C++           |        347 |         27 |         93 |        467 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qversiontagging.h                                                     | C++           |         63 |         58 |         14 |        135 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qwaitcondition.h                                                      | C++           |         49 |          2 |         22 |         73 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qwineventnotifier.h                                                   | C++           |         28 |          2 |         15 |         45 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qxmlstream.h                                                          | C++           |        295 |          4 |         76 |        375 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qxpfunctional.h                                                       | C++           |        116 |         30 |         31 |        177 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/minimum-linux_p.h                     | C++           |         24 |         38 |         11 |         73 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qabstractanimation_p.h                | C++           |        180 |         32 |         66 |        278 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qabstracteventdispatcher_p.h          | C++           |         19 |         12 |         11 |         42 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qabstractfileengine_p.h               | C++           |        188 |         17 |         40 |        245 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qabstractitemmodel_p.h                | C++           |        101 |         44 |         32 |        177 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qabstractproxymodel_p.h               | C++           |         42 |         13 |         12 |         67 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qandroidextras_p.h                    | C++           |        201 |         12 |         52 |        265 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qanimationgroup_p.h                   | C++           |         30 |         13 |         16 |         59 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qatomicscopedvaluerollback_p.h        | C++           |         67 |         12 |         17 |         96 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qbytearray_p.h                        | C++           |          9 |         13 |          8 |         30 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qbytedata_p.h                         | C++           |        199 |         46 |         41 |        286 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcalendarbackend_p.h                  | C++           |         81 |         27 |         27 |        135 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcalendarmath_p.h                     | C++           |         12 |         26 |         11 |         49 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcborcommon_p.h                       | C++           |         24 |         13 |         13 |         50 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcborvalue_p.h                        | C++           |        367 |         21 |         62 |        450 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcfsocketnotifier_p.h                 | C++           |         41 |         21 |         15 |         77 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcoffpeparser_p.h                     | C++           |         12 |         13 |         10 |         35 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcollator_p.h                         | C++           |         76 |         14 |         22 |        112 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qconfig_p.h                           | C++           |         60 |          0 |         61 |        121 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcore_mac_p.h                         | C++           |        316 |         33 |         81 |        430 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcore_unix_p.h                        | C++           |        278 |         34 |         53 |        365 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcoreapplication_p.h                  | C++           |        120 |         13 |         39 |        172 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcorecmdlineargs_p.h                  | C++           |         31 |         12 |         12 |         55 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qcoreglobaldata_p.h                   | C++           |         19 |         12 |          9 |         40 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qdatastream_p.h                       | C++           |         17 |         12 |          9 |         38 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qdataurl_p.h                          | C++           |         11 |         12 |          8 |         31 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qdatetime_p.h                         | C++           |         86 |         19 |         29 |        134 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qdatetimeparser_p.h                   | C++           |        212 |         26 |         37 |        275 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qdeadlinetimer_p.h                    | C++           |         13 |         14 |          8 |         35 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qdebug_p.h                            | C++           |         70 |         13 |         20 |        103 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qdir_p.h                              | C++           |         44 |         12 |         25 |         81 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qdoublescanprint_p.h                  | C++           |         66 |         26 |         29 |        121 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qduplicatetracker_p.h                 | C++           |         98 |         12 |         15 |        125 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qelfparser_p.h                        | C++           |         14 |         12 |         11 |         37 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qendian_p.h                           | C++           |        223 |         16 |         48 |        287 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qeventdispatcher_cf_p.h               | C++           |        146 |         45 |         51 |        242 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qeventdispatcher_glib_p.h             | C++           |         47 |         12 |         22 |         81 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qeventdispatcher_unix_p.h             | C++           |         94 |         14 |         39 |        147 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qeventdispatcher_wasm_p.h             | C++           |         85 |         15 |         28 |        128 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qeventdispatcher_win_p.h              | C++           |         97 |         17 |         36 |        150 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qeventloop_p.h                        | C++           |         32 |         12 |         12 |         56 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfactoryloader_p.h                    | C++           |         75 |         14 |         25 |        114 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfile_p.h                             | C++           |         20 |         12 |         13 |         45 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfiledevice_p.h                       | C++           |         96 |         15 |         28 |        139 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfileinfo_p.h                         | C++           |        137 |         16 |         21 |        174 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfileselector_p.h                     | C++           |         26 |         12 |         11 |         49 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfilesystemengine_p.h                 | C++           |        115 |         14 |         25 |        154 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfilesystementry_p.h                  | C++           |         60 |         16 |         18 |         94 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfilesystemiterator_p.h               | C++           |         40 |         14 |         17 |         71 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfilesystemmetadata_p.h               | C++           |        278 |         21 |         60 |        359 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfilesystemwatcher_fsevents_p.h       | C++           |         76 |         19 |         22 |        117 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfilesystemwatcher_inotify_p.h        | C++           |         29 |         12 |         16 |         57 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfilesystemwatcher_kqueue_p.h         | C++           |         31 |         12 |         16 |         59 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfilesystemwatcher_p.h                | C++           |         49 |         18 |         21 |         88 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfilesystemwatcher_polling_p.h        | C++           |         60 |         12 |         18 |         90 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfilesystemwatcher_win_p.h            | C++           |         93 |         17 |         29 |        139 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qflatmap_p.h                          | C++           |        871 |         55 |        176 |      1,102 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfreelist_p.h                         | C++           |        137 |         82 |         35 |        254 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfsfileengine_iterator_p.h            | C++           |         28 |         12 |         14 |         54 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfsfileengine_p.h                     | C++           |        175 |         15 |         38 |        228 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfunctions_p.h                        | C++           |          7 |         12 |          7 |         26 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfunctions_winrt_p.h                  | C++           |        118 |         15 |         27 |        160 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfutex_p.h                            | C++           |        114 |         17 |         20 |        151 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfutureinterface_p.h                  | C++           |        130 |         28 |         27 |        185 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qfuturewatcher_p.h                    | C++           |         23 |         12 |         15 |         50 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qglobal_p.h                           | C++           |        100 |         25 |         21 |        146 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qgregoriancalendar_p.h                | C++           |         27 |         20 |         10 |         57 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qhijricalendar_data_p.h               | C++           |      1,224 |         25 |         11 |      1,260 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qhijricalendar_p.h                    | C++           |         21 |         13 |         11 |         45 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qhooks_p.h                            | C++           |         23 |         12 |         14 |         49 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qidentityproxymodel_p.h               | C++           |         35 |         13 |         15 |         63 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qiodevice_p.h                         | C++           |        127 |         18 |         24 |        169 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qipaddress_p.h                        | C++           |         15 |         12 |         11 |         38 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qislamiccivilcalendar_p.h             | C++           |         16 |         15 |          9 |         40 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qitemselectionmodel_p.h               | C++           |         54 |         13 |         16 |         83 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qiterable_p.h                         | C++           |         21 |         12 |         10 |         43 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qjalalicalendar_data_p.h              | C++           |        875 |         25 |         11 |        911 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qjalalicalendar_p.h                   | C++           |         23 |         17 |         10 |         50 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qjnihelpers_p.h                       | C++           |        115 |         12 |         28 |        155 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qjson_p.h                             | C++           |        171 |         13 |         36 |        220 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qjsonparser_p.h                       | C++           |         32 |         12 |         14 |         58 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qjsonwriter_p.h                       | C++           |         16 |         12 |         10 |         38 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qjuliancalendar_p.h                   | C++           |         15 |         15 |          8 |         38 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qlibrary_p.h                          | C++           |         69 |         16 |         24 |        109 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qlibraryinfo_p.h                      | C++           |         32 |         13 |         13 |         58 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qlocale_data_p.h                      | C++           |      6,022 |         31 |         38 |      6,091 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qlocale_p.h                           | C++           |        403 |         38 |         64 |        505 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qlocale_tools_p.h                     | C++           |         54 |         21 |         17 |         92 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qlocaltime_p.h                        | C++           |         18 |         19 |         10 |         47 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qlockfile_p.h                         | C++           |         55 |         16 |         13 |         84 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qlocking_p.h                          | C++           |         32 |         35 |         14 |         81 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qlogging_p.h                          | C++           |          9 |         12 |         10 |         31 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qloggingregistry_p.h                  | C++           |        105 |         14 |         35 |        154 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmachparser_p.h                       | C++           |         16 |         12 |         12 |         40 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmakearray_p.h                        | C++           |        100 |         12 |         32 |        144 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmetaobject_moc_p.h                   | C++           |         17 |         13 |          7 |         37 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmetaobject_p.h                       | C++           |        195 |         30 |         36 |        261 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmetaobjectbuilder_p.h                | C++           |        223 |         12 |         75 |        310 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmetatype_p.h                         | C++           |        108 |         13 |         17 |        138 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmilankoviccalendar_p.h               | C++           |         15 |         15 |          8 |         38 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmimedatabase_p.h                     | C++           |         57 |         14 |         23 |         94 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmimeglobpattern_p.h                  | C++           |         95 |         22 |         24 |        141 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmimemagicrule_p.h                    | C++           |         57 |         13 |         23 |         93 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmimemagicrulematcher_p.h             | C++           |         33 |         12 |         17 |         62 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmimeprovider_p.h                     | C++           |        112 |         20 |         28 |        160 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmimetype_p.h                         | C++           |         44 |         12 |         15 |         71 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmimetypeparser_p.h                   | C++           |         60 |         12 |         26 |         98 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qmutex_p.h                            | C++           |         69 |         23 |         17 |        109 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qnativeinterface_p.h                  | C++           |         40 |         13 |         11 |         64 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qnoncontiguousbytedevice_p.h          | C++           |        121 |         15 |         28 |        164 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qntdll_p.h                            | C++           |         35 |         18 |         10 |         63 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qnumeric_p.h                          | C++           |        211 |         63 |         46 |        320 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qobject_p.h                           | C++           |        346 |         52 |         72 |        470 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qobject_p_p.h                         | C++           |        192 |         35 |         23 |        250 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qoffsetstringarray_p.h                | C++           |        111 |         17 |         29 |        157 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qoperatingsystemversion_p.h           | C++           |         13 |         12 |          9 |         34 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qoperatingsystemversion_win_p.h       | C++           |          8 |         12 |          8 |         28 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qorderedmutexlocker_p.h               | C++           |        116 |         26 |         32 |        174 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qparallelanimationgroup_p.h           | C++           |         28 |         13 |         13 |         54 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qplugin_p.h                           | C++           |         69 |         18 |         12 |         99 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qpoll_p.h                             | C++           |         25 |         12 |         13 |         50 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qprocess_p.h                          | C++           |        284 |         22 |         47 |        353 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qproperty_p.h                         | C++           |        694 |         89 |        127 |        910 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qpropertyanimation_p.h                | C++           |         35 |         15 |         13 |         63 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private/qrandom_p.h                           | C++           |         28 |         13 |         12 |         53 |
