"filename", "language", "C++", "Makefile", "Batch", "TypeScript", "Shell Script", "YAML", "Objective-C++", "PostCSS", "HTML", "JSON", "Markdown", "log", "XML", "C", "comment", "blank", "total"
"/Users/roryhill/Projects/Winnow64/Docs/embelcoordsystem.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/roryhill/Projects/Winnow64/Docs/filtershelp.fld/colorschememapping.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"/Users/roryhill/Projects/Winnow64/Docs/filtershelp.fld/filelist.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/roryhill/Projects/Winnow64/Docs/filtershelp.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1515, 0, 0, 0, 0, 0, 0, 0, 1515
"/Users/roryhill/Projects/Winnow64/Docs/helpfilmstrip.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/roryhill/Projects/Winnow64/Docs/ingestautopath.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 3, 29, 102
"/Users/roryhill/Projects/Winnow64/Docs/ingesthelp.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 1424, 35, 1561
"/Users/roryhill/Projects/Winnow64/Docs/ingesthelp_files/colorschememapping.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"/Users/roryhill/Projects/Winnow64/Docs/ingesthelp_files/filelist.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/roryhill/Projects/Winnow64/Docs/versions.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 3, 27, 201
"/Users/roryhill/Projects/Winnow64/Docs/winnow.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 3, 15, 89
"/Users/roryhill/Projects/Winnow64/Docs/~$ltershelp.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/roryhill/Projects/Winnow64/Effects/REF_KImageEffect.cpp", "C++", 3177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 421, 3807
